Name,Type,Address,Town,State,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,AdultChange,ChangingPlaces,BabyChange,BabyCareRoom,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,ToiletNote,Shower
Cafe Brontos,Food outlet,140 Boronia Road,Boronia,VIC,,-37.8627436,145.2841895,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"OPEN: Sat-Sun 8am-3pm, Mon-Fri 7am-3pm",,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Boronia Hotel ,Food outlet,112 Boronia Road,Boronia,VIC,,-37.8629479,145.2863461,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: 10:30am-9pm,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Murrumbeena Park Community Hub,Community building,28 Gerald Street,Murrumbeena,VIC,,-37.896315,145.069544,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"OPEN: Mon-Fri 8am-10pm, Sat-Sun 8am-12pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Local Village Shopping Centre,Shopping centre,1095 Frankston - Dandenong Road,Carrum Downs,VIC,Inside shopping centre open during trading hours,-38.08884851,145.1826178,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 8am-9pm,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Wahgunyah Rail Trail,Park or reserve,Victoria Street,Wahgunyah,VIC,,-36.01304289,146.4043803,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Lake Augusta Lane,Other,141 Cornish Street,Castlemaine,VIC,,-37.05424313,144.2130461,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Drummond Street Reserve,Park or reserve,27 Drummond Street,Greenvale,VIC,,-37.65582953,144.8891361,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,"Open 6.00am -6.00pm 7 days during winter
Open 6.00am - 8.30pm 7 days during summer",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Semi automatic exeloo,FALSE
Greenvale Gardens,Park or reserve,Greenvale Gardens Boulevard,Greenvale,VIC,,-37.62264273,144.8776843,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,"Open 6.00am - 6.00pm 7 days during winter
Open 6.00am - 8.30pm 7 days during summer",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Semi automatic exeloo,FALSE
Johnstone Street Reserve,Park or reserve,59 Johnstone Street,Jacana,VIC,"Playground, skatepark, bbq",-37.68260163,144.9119184,TRUE,FALSE,Carpark open daylight hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,"Open 6.00am - 6.00pm during winter
Open 6.00am - 8.30pm during summer",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Semi automatic exeloo,FALSE
The Nook,Park or reserve,Vaughan Street,Sunbury,VIC,,-37.58021366,144.739692,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,"Open 6.00am - 6.00pm  7 days during winter
Open 6.00am - 8.30pm 7 days during summer",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Semi automatic exeloo,FALSE
Patullous Lane,Park or reserve,15 Corona Place,Roxburgh Park,VIC,,-37.62215605,144.9334512,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,"Open 6.00am - 6.00pm during winter
Open 6.00am - 8.30pm during summer",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Semi automatic exeloo,FALSE
Ferntree Park,Park or reserve,37 Staghorn Way,Drouin,VIC,Playground BBQ area,-38.15392249,145.8586851,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Noojee River Reserve,Park or reserve,22 Bennett Street,Noojee,VIC,Playground and BBQ area.,-37.8919079,145.9993421,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Western Park No 2,Sporting facility,22 Meadowbrook Crescent,Warragul,VIC,Sporting shed area.,-38.15308954,145.9173452,TRUE,FALSE,Street parking,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
Highett Street Playground,Park or reserve,35 Highett Street,Mansfield,VIC,,-37.05398185,146.0868328,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: 7am-7pm,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
Tolmie ,Other,,Tolmie,VIC,,-36.91768648,146.2655021,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Maindample Park,Park or reserve,30 Main Street,Maindample,VIC,,-37.02657252,145.9404603,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
