Address,Town,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,AccessNote,AdultChange,ChangingPlaces,AdultChangeNote,BabyChange,BabyCareRoom,BabyChangeNote,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,ToiletNote,Shower
25I Carnival Boulevard,Berwick,,-38.07220486,145.3637623,TRUE,TRUE,,,TRUE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
24I Merribrook Boulevard,Clyde,,-38.12439975,145.350977,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Trueman Street,Cranbourne West,,-38.11105981,145.2414249,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
162-170 Power Road,Doveton,,-37.98497774,145.2396415,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
106 Doveton Avenue,Eumemmerring,,-37.99383985,145.2506205,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
66-80I David Collins Drive,Endeavour Hills,,-37.99272316,145.2695464,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE
118 Frawley Road,Hallam,,-38.00124539,145.2705663,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE
23 Gunns Road,Hallam,,-37.99737761,145.265091,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
56 King Road,Harkaway,,-38.00020834,145.3434025,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
25I Boland Drive,Lyndhurst,,-38.07174791,145.2511488,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
10I Playwright Street,Clyde North,,-38.12254098,145.3691464,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
11 Pound Road,Hampton Park,,-38.02437013,145.249792,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
670 Princes Highway,Berwick,,-38.0278803,145.3369652,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
45I Parkhurst Drive,Cranbourne East,,-38.1222324,145.2952261,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE
4S Flicka Boulevard,Cranbourne West,,-38.10668408,145.2503184,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
50-54 Hallam Road,Hampton Park,,-38.03243656,145.2681508,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
63I Encore Boulevard,Cranbourne South,,-38.12616192,145.2353178,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
160 Berwick-Cranbourne Road,Cranbourne East,,-38.11894091,145.3098727,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,TRUE
